```csv
id,conversation
g_001,"야 오늘 뭐 먹을래? 나는 치킨이 땡기는데. 그래 치킨 먹자 오랜만이네. 응 좋아 몇 시에 만날까? 6시쯤 어때? 좋아 그럼 6시에 보자."
g_002,"주말에 뭐 해? 아직 계획 없는데 너는? 나 영화 보러 갈 건데 같이 갈래? 오 좋지 무슨 영화인데? 액션 영화 새로 나온 거 있어. 그래 같이 가자 재밌을 것 같다."
g_003,"오늘 날씨 진짜 좋다. 그치 산책하기 딱 좋은데. 우리 한강 갈까? 좋아 따뜻한 커피 들고 가자. 응 그러자 몇 시에 나갈래? 3시쯤 괜찮아? 알았어 그럼 3시에 보자."
g_004,"요즘 운동 다니니? 응 헬스장 일주일에 세 번 가. 대박 꾸준하네 나도 가야 하는데. 같이 다닐래? 응 좋아 언제부터 갈까? 다음 주 월요일부터 어때? 그래 월요일에 보자."
g_005,"이번에 새로 나온 카페 가봤어? 아직 못 가봤는데 어땠어? 분위기 진짜 좋더라 커피도 맛있고. 오 그럼 우리 이번 주에 가볼까? 좋지 토요일 오후에 어때? 완벽해 토요일에 보자."
g_006,"야 생일 선물 뭐 사줄까? 음 아직 잘 모르겠어 너는 뭐 받고 싶어? 나는 책이나 향수 괜찮을 것 같아. 그럼 향수 사줄게 어떤 거 좋아해? 플로럴 계열 좋아해. 알았어 그럼 그걸로 준비할게."
g_007,"오늘 회의 어땠어? 괜찮았어 별로 길지 않았어. 다행이다 점심 먹었어? 아직인데 너는? 나도 아직 같이 먹을래? 좋아 뭐 먹을까? 김치찌개 어때? 완전 좋지 가자."
g_008,"드라마 추천해줄 거 있어? 요즘 보는 거 재밌는데 제목이 뭐야? 그 범죄 스릴러 드라마 알지? 아 그거 나도 들었어 재밌대? 응 진짜 몰입 잘 돼. 그럼 나도 봐야겠다 고마워."
g_009,"주말에 집에만 있었어? 응 너무 피곤해서 푹 쉬었어. 그래 쉬는 것도 중요하지 너는? 나는 친구들이랑 놀러 갔어. 어디 갔는데? 남산 갔다 왔어 경치 좋더라. 좋겠다 나도 다음에 가야지."
g_010,"이거 들어봤어? 응 이 노래 요즘 계속 들어. 좋지 중독성 있어. 가사도 좋고 멜로디도 좋아. 그치 이 가수 다른 노래도 다 좋아. 응 나도 이 가수 팬이야. 같이 콘서트 가자."
g_011,"오늘 날씨 왜 이렇게 추워? 그러게 아침에 깜짝 놀랐어. 패딩 꺼내야 할 것 같아. 나도 벌써 꺼냈어 ㅋㅋ 빨리 준비하는 게 낫지. 그래 너 말이 맞아. 오늘 따뜻하게 입고 다녀."
g_012,"커피 한잔할래? 좋아 카페라떼로 줘. 알았어 나는 아메리카노 마실게. 요즘 커피 많이 마시는데 괜찮아? 응 적당히 마시는 편이야. 그래 너무 많이 마시면 안 좋으니까. 알아 조심할게."
g_013,"내일 약속 있어? 없는데 왜? 같이 쇼핑 갈래? 좋지 뭐 사려고? 겨울 옷 좀 사야 해서. 나도 살 거 있어 같이 가자. 그래 몇 시에 만날까? 2시 어때? 완벽해 내일 보자."
g_014,"요즘 책 읽어? 응 소설 하나 읽고 있어 진짜 재밌어. 무슨 책인데? 추리 소설인데 반전이 대박이야. 오 나도 추리 소설 좋아해. 다 읽으면 빌려줄게. 좋아 기대할게."
g_015,"피곤해 보이는데 괜찮아? 응 요즘 잠을 못 잤어. 일이 많았어? 응 프로젝트 하느라 바빴어. 고생했다 이제 좀 쉬어. 응 오늘은 일찍 자야겠어. 그래 푹 쉬어."
g_016,"이번 주말에 등산 갈 건데 같이 갈래? 오 좋지 어디로 갈 건데? 북한산 가려고 해. 좋아 나도 오랜만에 등산하고 싶었어. 그럼 준비물 챙겨와. 알았어 등산화 신고 갈게. 좋아 토요일 아침에 보자."
g_017,"점심 뭐 먹을까? 나는 파스타 먹고 싶은데. 좋아 새로 생긴 이탈리안 레스토랑 가볼까? 거기 괜찮대? 응 리뷰 좋더라. 그럼 거기로 가자. 알았어 예약할게."
g_018,"야 이거 봤어? 응 뭔데? SNS에 올라온 거 진짜 웃겨. 보여줘 나도 보고 싶어. 여기 이거 봐봐. ㅋㅋㅋ 진짜 웃기네 저장했어. 그치 나도 계속 보게 돼."
g_019,"오늘 기분 좋아 보이네. 응 좋은 일 있었어. 뭔데 말해봐. 면접 합격했어. 헐 대박 축하해 진짜 잘됐다. 고마워 다음에 밥 살게. 좋아 언제든지 연락해."
g_020,"요즘 게임해? 응 가끔 하는데 너는? 나도 주말에 좀 해. 같이 할래? 좋지 무슨 게임 해? 그 협동 게임 재밌던데. 응 나도 해봤어 같이 하자."
g_021,"이번에 여행 가려고 하는데 추천해줄 곳 있어? 제주도 어때? 거기 좋지 몇 번 가봤어? 세 번 정도 갔는데 매번 좋더라. 그럼 제주도로 정해야겠다. 좋은 선택이야 재밌게 다녀와. 고마워 사진 많이 찍어올게."
g_022,"오늘 저녁에 시간 있어? 응 있는데 왜? 같이 술 한잔할래? 좋지 어디서 만날까? 우리 동네 포차 어때? 완전 좋지 거기 분위기 좋아. 그래 7시에 보자. 알았어 곧 보자."
g_023,"머리 자르니? 응 요즘 길어서 정리하려고. 어떻게 자를 건데? 좀 짧게 자를까 봐. 잘 어울릴 것 같아. 고마워 미용실 예약했어. 잘 다녀와."
g_024,"요즘 운동 효과 보는 것 같아? 응 조금씩 나아지는 것 같아. 대단하다 꾸준히 하는 게 쉽지 않은데. 너도 같이 하면 재밌을 텐데. 나도 시작해볼까 봐. 같이 하자 더 재밌어. 그래 다음 주부터 같이 가자."
g_025,"이번 주 날씨 어떻대? 계속 맑을 것 같아. 다행이다 세탁하기 좋겠네. 그치 이불도 빨아야겠어. 나도 대청소 좀 해야겠어. 주말에 같이 청소할까? ㅋㅋ 좋아 서로 도와주자."
g_026,"새로 산 신발 어때? 예쁘다 어디서 샀어? 온라인 쇼핑몰에서 샀어. 편해 보인다 나도 살까 봐. 응 편하고 가격도 괜찮아. 링크 보내줄래? 좋아 지금 보내줄게."
g_027,"내일 비 온대 우산 챙겨. 그래 알려줘서 고마워. 바람도 많이 분대. 그럼 두꺼운 옷 입어야겠다. 응 따뜻하게 입고 다녀. 너도 조심해."
g_028,"배고프다 간식 먹을래? 좋아 뭐 있어? 과자랑 초콜릿 있어. 초콜릿 줘. 여기 먹어. 고마워 맛있다."
g_029,"주말에 가족들 만나? 응 부모님이랑 식사하기로 했어. 좋겠다 오랜만이지? 응 한 달 만에 보는 거야. 맛있는 거 먹고 와. 응 너도 좋은 주말 보내."
g_030,"요즘 취미 생활 뭐 해? 그림 그리기 배우고 있어. 대박 언제부터 배웠어? 한 달 정도 됐어. 재밌어? 응 진짜 재밌어 스트레스도 풀리고. 나도 배워볼까 봐. 같이 배우자 더 재밌을 거야."
g_031,"이번 주 일정 바쁘니? 응 회의가 좀 많아. 힘들겠다 파이팅. 고마워 너는 어때? 나도 비슷해 다 같이 힘든 주네. 그래도 금요일이 곧 오니까. 맞아 조금만 버티자."
g_032,"오늘 점심 맛있었어? 응 완전 맛있었어 너는? 나도 괜찮았어 어디서 먹었어? 회사 근처 한식당이야. 나도 거기 가봐야겠다. 추천해 진짜 맛있어."
